id,name,host_id,host_name,host_since,room_type,price,neighbourhood,bedrooms,number_of_reviews,first_review,last_review,host_is_superhost,minimum_nights,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_identity_verified,accommodates,beds,airbnb_age
34345899,CONTEMPORARY COOGEE-Hosted by:L'Abode,7409213,L'Abode Accommodation Specialist,2013-07-10,Entire home/apt,428,Randwick,3.0,4,2019-08-05,2023-12-08,f,90,0.07,5.0,5.0,4.25,5.0,5.0,5.0,4.75,t,6,3.0,1586
626617781146317966,Super Harbour Views Apt in a Heart of Sydney' City,5215877,Milan,2013-02-24,Entire home/apt,380,Sydney,2.0,122,2022-05-22,2024-03-06,f,2,5.49,4.58,4.6,4.35,4.74,4.79,4.88,4.43,t,6,4.0,654
858935547131809592,"Private studio, conveniently located near station",26268828,Rodney,2015-01-17,Entire home/apt,127,Sydney,1.0,42,2023-04-10,2024-03-01,t,2,3.66,4.95,4.98,4.86,4.95,4.98,4.95,4.95,t,1,1.0,326
1521258,Art Deco Beach Apt Bondi Beach,2494240,Gustavo,2012-05-29,Entire home/apt,100,Waverley,1.0,80,2013-10-04,2024-03-03,f,7,0.63,4.42,4.42,4.27,4.63,4.57,4.91,4.63,t,4,2.0,3803
26853314,Bayswater Tree View Double Room,82545663,Bayswater Boutique,2016-07-08,Private room,185,Sydney,1.0,80,2019-02-20,2024-02-19,f,1,1.29,4.53,4.58,4.66,4.72,4.7,4.71,4.59,t,2,1.0,1825
28398866,Spacious Harbour View 4bd home in Sydney CBD,106476970,Lina,2016-12-07,Entire home/apt,816,Sydney,4.0,118,2020-06-28,2024-03-01,f,3,2.6,4.63,4.73,4.68,4.91,4.88,4.88,4.38,t,10,7.0,1342
43117935,Stylish Studio in Potts Point,21151187,John,2014-09-09,Private room,475,Sydney,0.0,19,2020-05-11,2024-02-02,f,1,0.4,4.21,4.37,4.32,4.79,4.74,4.74,4.16,t,3,2.0,1362
1049488754575617679,Iconic 2bedroom entire unit walktoTrainFerry,551593155,Robert,2023-12-18,Entire home/apt,208,Ryde,2.0,4,2024-02-10,2024-03-09,f,1,3.16,4.25,4.5,4.5,5.0,5.0,4.25,4.25,t,5,4.0,28
21244318,Inside Out Home in the Heart of Paddington,11083484,Joel Ernest,2014-01-07,Entire home/apt,1200,Woollahra,3.0,25,2018-03-02,2024-01-19,t,21,0.34,4.96,4.88,4.53,5.0,5.0,5.0,4.65,t,5,4.0,2149
5042823,Bronte beach studio in Sydney's Best Suburb Apt 8,10469992,Christina,2013-12-06,Entire home/apt,170,Waverley,0.0,167,2015-02-14,2024-02-29,f,2,1.51,4.63,4.77,4.67,4.82,4.82,4.87,4.6,t,2,1.0,3302
